symbol	date	close
CHCC	01-Feb-17	172
CHCC	01-Mar-17	180
CHCC	01-Apr-17	176
CHCC	01-May-17	175
CHCC	01-Jun-17	176
CHCC	01-Sep-17	175
CHCC	01-Oct-17	176
CHCC	01-Nov-17	178
CHCC	01-Dec-17	180
CHCC	02-Jan-17	185
CHCC	02-Feb-17	183
CHCC	02-Mar-17	181
CHCC	02-Jun-17	183
CHCC	02-Jul-17	181
CHCC	02-Aug-17	181
CHCC	02-Sep-17	186
CHCC	02-Oct-17	184
CHCC	03-Jan-17	187
CHCC	03-Feb-17	188
CHCC	03-Mar-17	188
CHCC	03-Jun-17	185
CHCC	03-Jul-17	181
CHCC	03-Aug-17	184
CHCC	03-Sep-17	184
CHCC	03-Oct-17	184
CHCC	04-Mar-17	189
CHCC	04-Apr-17	187
CHCC	04-May-17	185
CHCC	04-Jun-17	186
CHCC	04-Jul-17	186
CHCC	04-Oct-17	188
CHCC	04-Nov-17	191
CHCC	04-Dec-17	191
CHCC	05-Feb-17	198
CHCC	05-Mar-17	198
CHCC	05-Apr-17	199
CHCC	05-May-17	199
CHCC	05-Aug-17	200
CHCC	05-Sep-17	199
CHCC	05-Oct-17	199
CHCC	05-Nov-17	200
CHCC	05-Dec-17	199
CHCC	06-Jan-17	180
CHCC	06-Feb-17	184
CHCC	06-May-17	187
CHCC	06-Jun-17	186
CHCC	06-Jul-17	185
CHCC	06-Aug-17	183
CHCC	06-Sep-17	183
CHCC	06-Dec-17	175
CHCC	07-Mar-17	170
CHCC	07-Apr-17	173
CHCC	07-May-17	171
CHCC	07-Jun-17	168
CHCC	07-Jul-17	170
CHCC	07-Oct-17	175
CHCC	07-Nov-17	166
CHCC	07-Dec-17	158
CHCC	08-Jan-17	161
CHCC	08-Feb-17	160
CHCC	08-Mar-17	165
CHCC	08-Apr-17	168
CHCC	08-Jul-17	168
CHCC	08-Aug-17	168
CHCC	08-Sep-17	168
CHCC	08-Oct-17	169
CHCC	08-Nov-17	163
CHCC	09-May-17	140
CHCC	09-Jun-17	139
CHCC	09-Jul-17	132
CHCC	09-Aug-17	135
CHCC	09-Nov-17	133
CHCC	09-Dec-17	129
CHCC	10-Feb-17	118
CHCC	10-Mar-17	112
CHCC	10-Apr-17	107
CHCC	10-May-17	104
CHCC	10-Jun-17	109
CHCC	10-Sep-17	112
CHCC	10-Oct-17	110
CHCC	10-Nov-17	109
CHCC	10-Dec-17	106
CHCC	11-Jan-17	105
CHCC	11-Feb-17	101
CHCC	11-Mar-17	103
CHCC	11-Jun-17	102
CHCC	11-Jul-17	100
CHCC	11-Aug-17	102
CHCC	11-Sep-17	105
CHCC	11-Oct-17	105
CHCC	12-Apr-17	94
CHCC	12-May-17	94
CHCC	12-Jun-17	93
CHCC	12-Jul-17	90
CHCC	12-Aug-17	92
CHCC	12-Nov-17	90
CHCC	12-Dec-17	93
CHCC	01-Jan-18	108
CHCC	01-Feb-18	113
CHCC	01-Mar-18	112
CHCC	01-Apr-18	109
CHCC	01-May-18	111
CHCC	01-Aug-18	113
CHCC	01-Sep-18	114
CHCC	01-Oct-18	117
CHCC	01-Nov-18	117
CHCC	01-Dec-18	114
CHCC	02-Jan-18	138
CHCC	02-Feb-18	137
CHCC	02-Jun-18	136
CHCC	02-Jul-18	136
CHCC	02-Aug-18	129
CHCC	02-Sep-18	125
CHCC	02-Dec-18	126
CHCC	03-Jan-18	133
CHCC	03-Feb-18	139
CHCC	03-May-18	138
CHCC	03-Jun-18	138
CHCC	03-Jul-18	134
CHCC	03-Aug-18	131
CHCC	03-Sep-18	130
CHCC	03-Dec-18	133
CHCC	04-Feb-18	135
CHCC	04-Mar-18	135
CHCC	04-Apr-18	133
CHCC	04-May-18	133
CHCC	04-Jun-18	135
CHCC	04-Sep-18	133
CHCC	04-Oct-18	132
CHCC	04-Nov-18	131
CHCC	04-Dec-18	129
CHCC	05-Feb-18	125
CHCC	05-Mar-18	125
CHCC	05-Apr-18	124
CHCC	05-Jul-18	125
CHCC	05-Aug-18	123
CHCC	05-Sep-18	117
CHCC	05-Oct-18	119
CHCC	05-Nov-18	117
CHCC	06-Jan-18	113
CHCC	06-Apr-18	114
CHCC	06-May-18	115
CHCC	06-Jun-18	114
CHCC	06-Jul-18	114
CHCC	06-Nov-18	112
CHCC	06-Dec-18	108
CHCC	07-Feb-18	93
CHCC	07-Mar-18	91
CHCC	07-Apr-18	86
CHCC	07-May-18	86
CHCC	07-Jun-18	86
CHCC	07-Sep-18	84
CHCC	07-Oct-18	85
CHCC	07-Nov-18	84
CHCC	07-Dec-18	85
CHCC	08-Jan-18	92
CHCC	08-Feb-18	91
CHCC	08-Mar-18	90
CHCC	08-Jun-18	93
CHCC	08-Jul-18	96
CHCC	08-Aug-18	93
CHCC	08-Sep-18	95
CHCC	08-Oct-18	95
CHCC	09-Mar-18	84
CHCC	09-Apr-18	86
CHCC	09-May-18	84
CHCC	09-Jun-18	81
CHCC	09-Jul-18	77
CHCC	09-Oct-18	80
CHCC	09-Nov-18	80
CHCC	09-Dec-18	80
CHCC	10-Jan-18	80
CHCC	10-Feb-18	80
CHCC	10-Mar-18	80
CHCC	10-Apr-18	78
CHCC	10-May-18	75
CHCC	10-Aug-18	67
CHCC	10-Sep-18	64
CHCC	10-Oct-18	63
CHCC	10-Nov-18	62
CHCC	10-Dec-18	59
CHCC	11-Jan-18	79
CHCC	11-Feb-18	80
CHCC	11-May-18	78
CHCC	11-Jun-18	74
CHCC	11-Jul-18	78
CHCC	11-Aug-18	76
CHCC	11-Sep-18	76
CHCC	11-Dec-18	73
CHCC	12-Mar-18	75
CHCC	12-Apr-18	73
CHCC	12-May-18	71
CHCC	12-Jun-18	69
CHCC	12-Jul-18	72
CHCC	12-Oct-18	73
CHCC	12-Nov-18	72
CHCC	12-Dec-18	70
CHCC	01-Jan-19	73
CHCC	01-Feb-19	72
CHCC	01-Mar-19	72
CHCC	01-Apr-19	72
CHCC	01-Jul-19	73
CHCC	01-Aug-19	74
CHCC	01-Sep-19	73
CHCC	01-Oct-19	73
CHCC	01-Nov-19	71
CHCC	02-Jan-19	69
CHCC	02-Apr-19	72
CHCC	02-Jun-19	74
CHCC	02-Jul-19	73
CHCC	02-Aug-19	73
CHCC	02-Nov-19	72
CHCC	02-Dec-19	76
CHCC	03-Jan-19	71
CHCC	03-Apr-19	69
CHCC	03-May-19	69
CHCC	03-Jun-19	69
CHCC	03-Jul-19	68
CHCC	03-Aug-19	68
CHCC	03-Nov-19	68
CHCC	03-Dec-19	68
CHCC	04-Jan-19	61
CHCC	04-Feb-19	60
CHCC	04-Mar-19	61
CHCC	04-Apr-19	59
CHCC	04-May-19	59
CHCC	04-Aug-19	56
CHCC	04-Sep-19	53
CHCC	04-Oct-19	50
CHCC	04-Nov-19	48
CHCC	04-Dec-19	49
CHCC	05-Feb-19	45
CHCC	05-Mar-19	44
CHCC	05-Jun-19	42
CHCC	05-Jul-19	40
CHCC	05-Aug-19	39
CHCC	05-Sep-19	41
CHCC	05-Oct-19	40
CHCC	06-Mar-19	32
CHCC	06-Oct-19	31
CHCC	06-Nov-19	31
CHCC	06-Dec-19	32
CHCC	07-Jan-19	31
CHCC	07-Feb-19	32
CHCC	07-Mar-19	34
CHCC	07-Apr-19	32
CHCC	07-May-19	32
CHCC	07-Aug-19	32
CHCC	07-Sep-19	32
CHCC	07-Oct-19	34
CHCC	07-Nov-19	34
CHCC	07-Dec-19	33
CHCC	08-Jan-19	27
CHCC	08-Feb-19	27
CHCC	08-May-19	26
CHCC	08-Jun-19	26
CHCC	08-Jul-19	26
CHCC	08-Aug-19	25
CHCC	08-Sep-19	25
CHCC	09-Feb-19	27
CHCC	09-Mar-19	27
CHCC	09-Apr-19	28
CHCC	09-May-19	27
CHCC	09-Jun-19	27
CHCC	09-Nov-19	27
CHCC	09-Dec-19	28
CHCC	10-Jan-19	30
CHCC	10-Feb-19	31
CHCC	10-Mar-19	33
CHCC	10-Apr-19	34
CHCC	10-Jul-19	36
CHCC	10-Aug-19	32
CHCC	10-Sep-19	33
CHCC	10-Oct-19	33
CHCC	10-Nov-19	34
CHCC	11-Jan-19	38
CHCC	11-Apr-19	40
CHCC	11-May-19	41
CHCC	11-Jun-19	43
CHCC	11-Jul-19	43
CHCC	11-Aug-19	42
CHCC	11-Nov-19	44
CHCC	11-Dec-19	46
CHCC	12-Feb-19	53
CHCC	12-Mar-19	51
CHCC	12-Apr-19	52
CHCC	12-May-19	53
CHCC	12-Jun-19	52
CHCC	12-Sep-19	50
CHCC	12-Oct-19	52
CHCC	12-Nov-19	53
CHCC	12-Dec-19	52
CHCC	01-Jan-20	54
CHCC	01-Feb-20	55
CHCC	01-Mar-20	54
CHCC	01-Jun-20	52
CHCC	01-Jul-20	52
CHCC	01-Aug-20	49
CHCC	01-Sep-20	51
CHCC	01-Oct-20	52
CHCC	02-Mar-20	56
CHCC	02-Apr-20	55
CHCC	02-Jun-20	54
CHCC	02-Jul-20	52
CHCC	02-Oct-20	49
CHCC	02-Nov-20	51
CHCC	02-Dec-20	53
CHCC	03-Feb-20	61
CHCC	03-Mar-20	65
CHCC	03-Apr-20	67
CHCC	03-May-20	72
CHCC	03-Jun-20	72
CHCC	03-Sep-20	77
CHCC	03-Oct-20	82
CHCC	03-Nov-20	86
CHCC	03-Dec-20	80
CHCC	04-Jan-20	58
CHCC	04-Feb-20	62
CHCC	04-Mar-20	67
CHCC	04-Jun-20	65
CHCC	04-Jul-20	70
CHCC	04-Aug-20	69
CHCC	04-Sep-20	74
CHCC	04-Oct-20	76
CHCC	05-Apr-20	89
CHCC	05-May-20	85
CHCC	05-Jun-20	82
CHCC	05-Jul-20	80
CHCC	05-Aug-20	80
CHCC	05-Nov-20	81
CHCC	05-Dec-20	86
CHCC	06-Jan-20	86
CHCC	06-Feb-20	87
CHCC	06-Mar-20	86
CHCC	06-Apr-20	85
CHCC	06-May-20	87
CHCC	06-Aug-20	89
CHCC	06-Sep-20	88
CHCC	06-Oct-20	87
CHCC	06-Nov-20	88
CHCC	06-Dec-20	89
CHCC	07-Jan-20	92
CHCC	07-Feb-20	93
CHCC	07-Mar-20	92
CHCC	07-Jun-20	95
CHCC	07-Jul-20	98
CHCC	07-Aug-20	101
CHCC	07-Sep-20	104
CHCC	07-Oct-20	106
CHCC	08-Mar-20	129
CHCC	08-Apr-20	126
CHCC	08-May-20	135
CHCC	08-Jun-20	136
CHCC	08-Jul-20	133
CHCC	08-Oct-20	128
CHCC	08-Nov-20	131
CHCC	08-Dec-20	128
CHCC	09-Jan-20	137
CHCC	09-Feb-20	141
CHCC	09-Mar-20	144
CHCC	09-Apr-20	141
CHCC	09-Jul-20	142
CHCC	09-Aug-20	139
CHCC	09-Sep-20	138
CHCC	09-Oct-20	138
CHCC	09-Nov-20	135
CHCC	10-Jan-20	118
CHCC	10-Feb-20	114
CHCC	10-May-20	110
CHCC	10-Jun-20	110
CHCC	10-Jul-20	116
CHCC	10-Aug-20	125
