Entity,Code,Year,Fossil fuels
Afghanistan,AFG,2021,15.662651
Africa,,2021,75.58944
Africa (BP),,2021,75.67336
Africa (Ember),,2021,75.589455
Algeria,DZA,2021,98.82641
American Samoa,ASM,2021,100
Angola,AGO,2021,28.180159
Antigua and Barbuda,ATG,2021,94.28571
Argentina,ARG,2021,67.71885
Armenia,ARM,2021,43.442623
Aruba,ABW,2021,83.870964
Asia,,2021,71.68151
Asia (Ember),,2021,69.61576
Asia Pacific (BP),,2021,68.49351
Australia,AUS,2021,70.86538
Austria,AUT,2021,21.962688
Azerbaijan,AZE,2021,94.5987
Bahamas,BHS,2021,100
Bahrain,BHR,2021,99.96851
Bangladesh,BGD,2021,98.274796
Barbados,BRB,2021,92.52336
Belarus,BLR,2021,83.838615
Belgium,BEL,2021,25.32871
Belize,BLZ,2021,59.375
Benin,BEN,2021,95.833336
Bhutan,BTN,2021,0
Bolivia,BOL,2021,58.262512
Bosnia and Herzegovina,BIH,2021,62.698414
Botswana,BWA,2021,99.54337
Brazil,BRA,2021,21.010294
British Virgin Islands,VGB,2021,100
Brunei,BRN,2021,100
Bulgaria,BGR,2021,44.3288
Burkina Faso,BFA,2021,86.85714
Burundi,BDI,2021,33.333332
CIS (BP),,2021,65.633804
Cambodia,KHM,2021,47.065594
Cameroon,CMR,2021,37.63975
Canada,CAN,2021,17.873632
Cape Verde,CPV,2021,84.44445
Cayman Islands,CYM,2021,97.26027
Central African Republic,CAF,2021,0
Chad,TCD,2021,96.7742
Chile,CHL,2021,57.293583
China,CHN,2021,66.289215
Colombia,COL,2021,26.350264
Comoros,COM,2021,100
Congo,COG,2021,75.87064
Cook Islands,COK,2021,60
Costa Rica,CRI,2021,1.2588513
Cote d'Ivoire,CIV,2021,69.85429
Croatia,HRV,2021,31.415031
Cuba,CUB,2021,78.63291
Cyprus,CYP,2021,84.015594
Czechia,CZE,2021,50.51583
Democratic Republic of Congo,COD,2021,0.27173913
Denmark,DNK,2021,25.946915
Djibouti,DJI,2021,100
Dominica,DMA,2021,76.47059
Dominican Republic,DOM,2021,82.82139
Ecuador,ECU,2021,16.450216
Egypt,EGY,2021,88.613106
El Salvador,SLV,2021,20.42683
Equatorial Guinea,GNQ,2021,69.014084
Eritrea,ERI,2021,97.77778
Estonia,EST,2021,67.952126
Eswatini,SWZ,2021,5.4054055
Ethiopia,ETH,2021,0.06807352
Europe,,2021,42.079796
Europe (BP),,2021,36.684822
Europe (Ember),,2021,43.41776
European Union (27),,2021,37.24315
European Union (27) (Ember),,2021,37.24315
Faeroe Islands,FRO,2021,61.904762
Falkland Islands,FLK,2021,50
Fiji,FJI,2021,37.16814
Finland,FIN,2021,15.226984
France,FRA,2021,9.180267
French Polynesia,PYF,2021,67.14286
G20 (Ember),,2021,60.664536
G7 (Ember),,2021,52.848724
Gabon,GAB,2021,55.458515
Gambia,GMB,2021,100
Georgia,GEO,2021,18.829115
Germany,DEU,2021,47.731335
Ghana,GHA,2021,65.13849
Greece,GRC,2021,59.548676
Greenland,GRL,2021,16.666666
Grenada,GRD,2021,100
Guam,GUM,2021,95.60439
Guatemala,GTM,2021,33.448753
Guinea,GIN,2021,27.338129
Guinea-Bissau,GNB,2021,100
Guyana,GUY,2021,86.991875
Haiti,HTI,2021,86.86868
High-income countries,,2021,55.623226
Honduras,HND,2021,47.953217
Hong Kong,HKG,2021,99.94326
Hungary,HUN,2021,37.40304
India,IND,2021,78.05281
Indonesia,IDN,2021,81.81113
Iran,IRN,2021,94.288315
Iraq,IRQ,2021,94.57125
Ireland,IRL,2021,63.152615
Israel,ISR,2021,93.21292
Italy,ITA,2021,58.712093
Jamaica,JAM,2021,83.67816
Japan,JPN,2021,71.00247
Jordan,JOR,2021,76.462524
Kazakhstan,KAZ,2021,87.56132
Kenya,KEN,2021,8.284023
Kiribati,KIR,2021,100
Kuwait,KWT,2021,99.929794
Kyrgyzstan,KGZ,2021,10.158949
Laos,LAO,2021,27.045282
Latin America and Caribbean (Ember),,2021,41.723885
Latvia,LVA,2021,38.35846
Lebanon,LBN,2021,94.36072
Lesotho,LSO,2021,0
Liberia,LBR,2021,42.391304
Libya,LBY,2021,99.96876
Lithuania,LTU,2021,37.362637
Low-income countries,,2021,34.196632
Lower-middle-income countries,,2021,74.9306
Luxembourg,LUX,2021,19.42446
Macao,MAC,2021,100
Madagascar,MDG,2021,65.55024
Malawi,MWI,2021,16.197184
Malaysia,MYS,2021,81.41405
Maldives,MDV,2021,92.42424
Mali,MLI,2021,64.011795
Malta,MLT,2021,91.05691
Mauritania,MRT,2021,73.40426
Mauritius,MUS,2021,78.81944
Mexico,MEX,2021,72.6725
Middle East (BP),,2021,96.008705
Moldova,MDA,2021,93.54355
Mongolia,MNG,2021,90.16854
Montenegro,MNE,2021,40.27397
Montserrat,MSR,2021,100
Morocco,MAR,2021,80.1937
Mozambique,MOZ,2021,18.583626
Myanmar,MMR,2021,58.09481
Namibia,NAM,2021,4.4585986
Nauru,NRU,2021,100
Nepal,NPL,2021,0
Netherlands,NLD,2021,62.59624
New Caledonia,NCL,2021,86.309525
New Zealand,NZL,2021,19.276833
Nicaragua,NIC,2021,45.356365
Niger,NER,2021,88.88889
Nigeria,NGA,2021,74.35653
Non-OECD (BP),,2021,67.88859
North America,,2021,56.25382
North America (BP),,2021,56.83361
North America (Ember),,2021,54.944626
North Korea,PRK,2021,16.816608
North Macedonia,MKD,2021,54.545452
Norway,NOR,2021,0.50423557
OECD (BP),,2021,51.45159
OECD (Ember),,2021,52.112724
Oceania,,2021,63.733253
Oceania (Ember),,2021,63.733253
Oman,OMN,2021,99.56236
Pakistan,PAK,2021,59.77892
Palestine,PSE,2021,76.74419
Panama,PAN,2021,25.558535
Papua New Guinea,PNG,2021,73.45679
Paraguay,PRY,2021,0.17491254
Peru,PER,2021,39.387684
Philippines,PHL,2021,77.874306
Poland,POL,2021,83.34838
Portugal,PRT,2021,37.32466
Puerto Rico,PRI,2021,97.20395
Qatar,QAT,2021,99.91579
Romania,ROU,2021,36.98467
Russia,RUS,2021,60.007565
Rwanda,RWA,2021,40
Saint Kitts and Nevis,KNA,2021,95.454544
Saint Lucia,LCA,2021,100
Saint Pierre and Miquelon,SPM,2021,100
Saint Vincent and the Grenadines,VCT,2021,75
Samoa,WSM,2021,64.70588
Sao Tome and Principe,STP,2021,90
Saudi Arabia,SAU,2021,99.76726
Senegal,SEN,2021,79.8574
Serbia,SRB,2021,67.122185
Seychelles,SYC,2021,87.692314
Sierra Leone,SLE,2021,9.523809
Singapore,SGP,2021,97.92446
Slovakia,SVK,2021,24.567358
Slovenia,SVN,2021,29.498713
Solomon Islands,SLB,2021,100
Somalia,SOM,2021,90.243904
South Africa,ZAF,2021,86.99373
South America,,2021,30.997625
South Korea,KOR,2021,66.65024
South Sudan,SSD,2021,98.24561
South and Central America (BP),,2021,32.91655
Spain,ESP,2021,33.026043
Sri Lanka,LKA,2021,62.286057
Sudan,SDN,2021,33.875828
Suriname,SUR,2021,49.50495
Sweden,SWE,2021,1.9351857
Switzerland,CHE,2021,3.7220025
Syria,SYR,2021,95.46539
Taiwan,TWN,2021,84.903564
Tajikistan,TJK,2021,8.7683735
Tanzania,TZA,2021,55.324356
Thailand,THA,2021,85.49336
Timor,TLS,2021,100
Togo,TGO,2021,73.01588
Tonga,TON,2021,87.5
Trinidad and Tobago,TTO,2021,99.88546
Tunisia,TUN,2021,95.22217
Turkey,TUR,2021,64.65551
Turkmenistan,TKM,2021,100
Turks and Caicos Islands,TCA,2021,100
Uganda,UGA,2021,2.9545455
Ukraine,UKR,2021,30.57644
United Arab Emirates,ARE,2021,93.74032
United Kingdom,GBR,2021,44.883797
United States,USA,2021,60.54169
United States Virgin Islands,VIR,2021,97.14286
Upper-middle-income countries,,2021,63.994984
Uruguay,URY,2021,21.934261
Uzbekistan,UZB,2021,91.53859
Vanuatu,VUT,2021,71.42857
Venezuela,VEN,2021,35.514515
Vietnam,VNM,2021,64.3285
World,OWID_WRL,2021,61.868267
Yemen,YEM,2021,82.954544
Zambia,ZMB,2021,7.792208
Zimbabwe,ZWE,2021,45.024876
